ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
ACCC919B5A3CD9AD,electric_bike,2025-01-01 14:52:26.542,2025-01-01 14:59:53.427,W 20 St & 7 Ave,6182.02,E 10 St & 2 Ave,5746.02,40.74238787,-73.99726235,40.72970805644994,-73.9865979552269,casual
1FABDF3EE40FCB0E,classic_bike,2025-01-10 05:03:13.646,2025-01-10 05:13:13.331,W 20 St & 7 Ave,6182.02,E 25 St & 1 Ave,6004.07,40.74238787,-73.99726235,40.7381765,-73.97738662,member
88F0F3CFCBC79652,classic_bike,2025-01-13 13:40:17.630,2025-01-13 13:47:05.817,St James Pl & Oliver St,5238.05,Fulton St & William St,5137.11,40.71307916,-73.99851193,40.70960089363537,-74.00655090808868,member
6FDE4E191D58E453,electric_bike,2025-01-10 08:29:16.996,2025-01-10 08:34:49.360,St James Pl & Oliver St,5238.05,Fulton St & William St,5137.11,40.71307916,-73.99851193,40.70960089363537,-74.00655090808868,member
E9B03B9F77A85455,electric_bike,2025-01-11 18:59:48.427,2025-01-11 19:13:21.292,E 33 St & 1 Ave,6197.08,Allen St & Rivington St,5414.06,40.74322681432173,-73.97449783980846,40.72019576,-73.98997825,member
E27CA6E330A833DD,electric_bike,2025-01-09 18:03:54.794,2025-01-09 18:27:31.990,Madison Ave & E 51 St,6659.09,Amsterdam Ave & W 125 St,7800.03,40.75863,-73.97513,40.813358,-73.956461,member
A4120AE33D242FE6,electric_bike,2025-01-04 13:10:06.448,2025-01-04 13:18:20.480,N 6 St & Bedford Ave,5379.10,Franklin St & Dupont St,5944.01,40.71745169,-73.95850939,40.73564,-73.95866,casual
062FC3717B12BF01,electric_bike,2025-01-03 10:48:00.607,2025-01-03 11:01:06.142,N 6 St & Bedford Ave,5379.10,Mott St & Prince St,5561.04,40.71745169,-73.95850939,40.72317958,-73.99480012,member
7873327E8D441E46,electric_bike,2025-01-01 02:44:37.747,2025-01-01 02:51:39.032,Riverside Dr E & W 155 St,8142.03,Amsterdam Ave & W 125 St,7800.03,40.834097985815255,-73.94834974194816,40.813358,-73.956461,member
2A91A5B8ECBCB27E,classic_bike,2025-01-12 17:00:26.993,2025-01-12 17:11:56.225,Rivington St & Ridge St,5406.02,E 10 St & 2 Ave,5746.02,40.71850211,-73.98329859,40.72970805644994,-73.9865979552269,member
BB56E363F50B9313,electric_bike,2025-01-04 20:52:07.365,2025-01-04 20:59:15.615,Grand Concourse & E 161 St,8021.11,Tinton Ave & E 165 St,7991.01,40.82713380423556,-73.9227358996868,40.824796,-73.90242,member
1871DE8DE11546E0,electric_bike,2025-01-08 08:19:58.887,2025-01-08 08:35:10.261,Broadway & Kent Ave,5134.09,Mott St & Prince St,5561.04,40.710888,-73.968329,40.72317958,-73.99480012,member
321F08BB8D6FF532,classic_bike,2025-01-08 17:29:20.700,2025-01-08 17:39:52.159,N 6 St & Bedford Ave,5379.10,Franklin St & Dupont St,5944.01,40.71745169,-73.95850939,40.73564,-73.95866,member
2D1199B2EA6AF996,electric_bike,2025-01-03 14:55:30.293,2025-01-03 15:03:40.306,N 6 St & Bedford Ave,5379.10,Franklin St & Dupont St,5944.01,40.71745169,-73.95850939,40.73564,-73.95866,member
7A9C7A180A132DEA,electric_bike,2025-01-06 18:35:00.662,2025-01-06 18:41:06.294,W 25 St & 6 Ave,6215.04,E 25 St & 1 Ave,6004.07,40.74395411,-73.99144871,40.7381765,-73.97738662,member
51EFDCC0DCB335FD,classic_bike,2025-01-07 17:01:01.078,2025-01-07 17:10:24.527,N 6 St & Bedford Ave,5379.10,Franklin St & Dupont St,5944.01,40.71745169,-73.95850939,40.73564,-73.95866,member
DF0FF26CF8514336,electric_bike,2025-01-10 10:32:33.949,2025-01-10 10:49:14.593,W 22 St & 10 Ave,6306.06,Fulton St & William St,5137.11,40.74691959,-74.00451887,40.70960089363537,-74.00655090808868,member
9C81E5061565CAE2,electric_bike,2025-01-12 17:28:34.764,2025-01-12 17:35:46.853,E 10 St & Ave A,5659.05,Mott St & Prince St,5561.04,40.72740794,-73.98142006,40.72317958,-73.99480012,member
EC4CD4B37C8C7BC9,electric_bike,2025-01-09 09:50:48.158,2025-01-09 10:00:26.894,Division St & Bowery,5311.08,Mott St & Prince St,5561.04,40.71419,-73.99673,40.72317958,-73.99480012,member
37E2F45AAB75C1BF,electric_bike,2025-01-06 08:17:01.098,2025-01-06 08:29:38.986,E 6 St & Ave B,5584.04,Allen St & Rivington St,5414.06,40.72453734,-73.98185424,40.72019576,-73.98997825,member
